source_id,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,dist,dist_error,pm_scalar,pm_scalar_error,rad_v,rad_v_error,finra,findec,findist,tang_v,true_v,radial_velocity
3.31E+18,64.46559687,0.058126599,15.22706646,0.038381186,109.707268,0.128061822,-21.65475781,0.101188461,21.00398357,0.064394919,14.246441,15.88909,13.003492,47.6100163,15529.17548,0.111824028,0.043071243,40.62496704,0.38518204,94.93983798,9.211855959,89.13015448,25.23549355,47.82486886,40.62496704
3.31E+18,64.22746554,0.046043979,16.35680959,0.029048826,114.9707968,0.108023475,-25.65548225,0.077504195,21.00638289,0.052426176,13.207776,14.610948,12.04815,47.60457835,19074.44093,0.117798505,0.026856879,42.79056922,0.228003644,96.163798,9.230286748,91.33803776,26.58072639,50.37427746,42.79056922
3.31E+18,67.31810874,0.063334536,12.36028747,0.029657156,103.8125326,0.18321716,-11.99705594,0.088299885,21.03945087,0.072704439,13.474093,15.020579,12.264738,47.52975761,13754.31829,0.104503451,0.072426058,37.90144714,0.693058054,96.15492335,9.027771931,86.26636314,23.54369233,44.61866363,37.90144714
3.31E+18,65.33282776,0.111372618,12.04385705,0.065808614,109.2892409,0.233666898,-10.66638265,0.154596264,21.05914204,0.12924428,14.7013445,16.671482,13.372788,47.4853153,7737.286302,0.109808515,0.13341985,39.78825599,1.215038306,95.69095023,9.080972978,88.15030551,24.7157438,46.83986877,39.78825599
3.41E+18,71.18276034,0.206767998,18.40808384,0.121472055,94.20163406,0.413846411,-33.28907585,0.218739828,21.08688894,0.254451113,13.645945,15.362651,12.377262,47.4228324,3930.028005,0.099910512,0.079113295,36.15415659,0.791933495,97.34988092,9.161118322,84.37364584,22.45830709,42.5617034,36.15415659
3.31E+18,66.31934672,0.069815803,16.30223726,0.033564119,108.3855203,0.150273523,-25.93659957,0.099051074,21.1100936,0.079815009,15.028309,16.80715,13.743402,47.37070422,12528.97187,0.111445629,0.036455983,40.28398642,0.327140852,96.4264357,9.09762627,88.54234829,25.02368257,47.42345676,40.28398642
3.31E+18,67.81865014,0.103841675,15.00322561,0.047193151,101.2503235,0.190927973,-20.1089763,0.131905643,21.11796378,0.116721335,16.11734,18.257864,14.737458,47.35305024,8567.414039,0.103227898,0.066117848,37.29963687,0.640527527,95.94373999,9.417398856,85.4745846,23.16985869,43.91019542,37.29963687
3.31E+18,68.43778177,0.050913024,12.71114843,0.026135211,99.02193703,0.123724394,-14.31380496,0.071114631,21.14003417,0.061610406,14.262473,14.121614,14.436704,47.30361323,16231.02422,0.100051132,0.051203417,36.114024,0.511780791,95.94387539,8.735091495,84.21340975,22.43337745,42.51445817,36.114024
4.80E+16,66.08776089,0.072547101,19.18062044,0.037669794,107.193961,0.15503715,-37.80034761,0.113730394,21.21196773,0.076578124,15.161274,16.93341,13.878975,47.14319826,13058.55968,0.113663589,0.029369948,40.88838613,0.258418858,95.86386117,8.680523884,88.93255998,25.39912472,48.13497333,40.88838613
3.31E+18,66.46066358,0.074123468,15.00246809,0.035586749,106.6405981,0.150551878,-22.82678747,0.093805318,21.21255364,0.086163452,14.778923,16.533537,13.503306,47.14189612,11605.84881,0.109056313,0.039843453,39.22991954,0.365370098,96.08305194,8.661693796,87.23624693,24.36891531,46.18257919,39.22991954
3.31E+18,67.815481,0.201419669,10.70333217,0.082515753,105.3468381,0.578594374,-10.37626179,0.253192909,21.28462174,0.251349122,17.621529,20.120377,16.058762,46.98227727,3978.529911,0.105856616,0.236278481,37.94998681,2.23209278,97.07849157,7.821037227,85.76849204,23.57384429,44.67580591,37.94998681
